task_id,issue_type,story_points,priority,team,current_stage,previous_stages_count,num_dependencies,entered_stage_date,next_stage_date,days_in_stage
T-0078,Feature,5,Medium,Team A,In Progress,2,3,2024-04-23,2024-05-02,9.14
T-0079,Feature,2,Critical,Team A,In Review,1,1,2024-02-21,2024-02-22,1.32
T-0080,Feature,8,High,Team C,Backlog,3,4,2024-06-10,2024-06-18,8.24
T-0081,Task,5,Low,Team B,In Progress,0,1,2024-06-25,2024-07-05,10.06
T-0082,Bug,1,Low,Team C,Backlog,1,2,2024-06-04,2024-06-09,5.43
T-0083,Feature,3,Medium,Team A,In Progress,1,0,2024-03-27,2024-04-03,6.86
T-0084,Feature,8,High,Team B,In Review,1,4,2024-04-18,2024-04-23,5.16
T-0085,Feature,8,Medium,Team B,Backlog,3,5,2024-05-20,2024-06-01,11.71
T-0086,Feature,3,Medium,Team B,Backlog,0,4,2024-03-09,2024-03-15,6.47
T-0087,Task,5,Low,Team B,Backlog,2,1,2024-04-29,2024-05-06,7.33
T-0088,Bug,2,Medium,Team A,In Progress,2,2,2024-03-07,2024-03-12,5.43
T-0089,Task,13,High,Team B,In Review,2,3,2024-03-01,2024-03-06,4.83
T-0090,Bug,2,Medium,Team A,Backlog,0,5,2024-03-11,2024-03-14,2.69
T-0091,Feature,8,High,Team B,In Review,2,2,2024-05-31,2024-06-04,3.89
T-0092,Task,5,Critical,Team C,In Progress,3,4,2024-05-30,2024-06-04,5.09
T-0093,Task,5,Medium,Team A,In Progress,0,3,2024-01-30,2024-02-07,8.11
T-0094,Bug,3,Medium,Team C,Testing,1,2,2024-05-25,2024-05-28,3.31
T-0095,Task,2,Medium,Team A,In Progress,3,0,2024-04-05,2024-04-11,6.33
T-0096,Bug,2,High,Team B,In Progress,1,5,2024-02-25,2024-03-01,4.67
T-0097,Bug,2,Medium,Team C,Backlog,2,1,2024-02-22,2024-02-25,2.89
T-0098,Bug,2,Medium,Team A,Backlog,3,2,2024-01-07,2024-01-12,5.41
T-0099,Feature,5,High,Team A,In Progress,0,2,2024-04-06,2024-04-12,6.06
T-0100,Feature,3,Medium,Team B,Backlog,3,0,2024-04-22,2024-04-28,5.53
T-0101,Feature,1,High,Team A,In Progress,1,4,2024-05-04,2024-05-09,5.39
T-0102,Bug,13,Medium,Team B,In Progress,0,5,2024-06-28,2024-07-10,11.89
T-0103,Feature,8,Low,Team C,In Progress,3,5,2024-05-11,2024-05-26,14.92
T-0104,Bug,8,Medium,Team B,Backlog,3,1,2024-06-10,2024-06-17,6.88
T-0105,Spike,13,High,Team A,In Progress,3,2,2024-06-09,2024-06-22,12.56
T-0106,Feature,2,Medium,Team B,In Progress,3,3,2024-04-30,2024-05-07,7.11
T-0107,Bug,3,High,Team B,Testing,0,2,2024-02-07,2024-02-12,5.09
T-0108,Task,5,High,Team A,Backlog,1,1,2024-05-01,2024-05-05,3.94
T-0109,Feature,5,Medium,Team B,In Review,3,2,2024-01-26,2024-01-30,4.09
T-0110,Feature,2,Critical,Team B,In Progress,0,0,2024-05-08,2024-05-11,2.61
T-0111,Feature,8,Low,Team B,In Progress,1,2,2024-01-04,2024-01-18,14.39
T-0112,Feature,2,Medium,Team A,In Progress,3,2,2024-02-08,2024-02-14,5.84
T-0113,Spike,2,Low,Team B,Backlog,1,3,2024-02-23,2024-03-02,7.76
T-0114,Task,3,High,Team A,Backlog,1,0,2024-06-09,2024-06-12,3.08
T-0115,Bug,3,Medium,Team A,In Progress,0,0,2024-02-02,2024-02-08,5.59
T-0116,Task,3,Low,Team C,In Progress,1,2,2024-01-20,2024-01-28,8.5
T-0117,Task,1,Medium,Team B,Testing,0,5,2024-01-16,2024-01-21,4.61
T-0118,Feature,8,Medium,Team A,In Progress,3,3,2024-05-28,2024-06-08,10.85
T-0119,Task,2,Low,Team A,Backlog,1,2,2024-06-21,2024-06-25,4.33
T-0120,Bug,1,High,Team A,In Review,1,2,2024-05-06,2024-05-06,0.5
T-0121,Task,8,High,Team A,In Progress,2,1,2024-03-27,2024-04-02,5.8
T-0122,Task,13,Medium,Team A,In Progress,3,1,2024-03-22,2024-04-03,12.22
T-0123,Feature,8,Critical,Team A,In Progress,3,5,2024-03-02,2024-03-10,8.0
T-0124,Feature,8,Medium,Team B,Testing,2,3,2024-01-31,2024-02-09,9.4
T-0125,Feature,5,Critical,Team B,In Review,2,4,2024-02-11,2024-02-13,2.04
T-0126,Bug,3,Medium,Team B,In Progress,0,1,2024-01-12,2024-01-17,5.19
T-0127,Task,1,Medium,Team B,In Progress,0,4,2024-03-05,2024-03-11,5.79
T-0128,Task,3,Low,Team A,Testing,1,0,2024-03-13,2024-03-18,5.19
T-0129,Feature,3,High,Team C,In Progress,1,1,2024-05-10,2024-05-15,4.7
T-0130,Bug,2,Medium,Team C,Backlog,1,1,2024-04-24,2024-04-27,2.66
T-0131,Bug,5,Low,Team C,In Progress,1,3,2024-05-16,2024-05-25,8.75
T-0132,Feature,3,Low,Team C,Backlog,0,5,2024-04-15,2024-04-22,7.34
T-0133,Feature,1,Medium,Team C,In Progress,3,4,2024-06-27,2024-07-03,6.19
T-0134,Feature,2,Medium,Team B,In Progress,1,1,2024-01-16,2024-01-23,7.07
T-0135,Spike,5,High,Team A,In Progress,3,1,2024-03-18,2024-03-26,7.99
T-0136,Feature,1,High,Team B,Backlog,1,3,2024-05-04,2024-05-09,5.39
T-0137,Bug,8,Low,Team B,In Review,2,3,2024-05-10,2024-05-17,6.84
T-0138,Task,3,High,Team B,In Progress,1,5,2024-05-31,2024-06-07,7.15
T-0139,Feature,3,Low,Team B,In Progress,1,4,2024-05-20,2024-05-31,11.3
T-0140,Spike,3,High,Team A,In Progress,1,0,2024-05-09,2024-05-15,6.07
T-0141,Spike,8,High,Team A,In Progress,0,5,2024-04-21,2024-04-29,8.47
T-0142,Feature,2,Medium,Team C,Backlog,2,0,2024-05-06,2024-05-11,4.87
T-0143,Bug,5,High,Team B,Backlog,1,2,2024-01-21,2024-01-25,4.23
T-0144,Feature,3,Medium,Team B,In Review,1,1,2024-05-26,2024-05-31,4.89
T-0145,Feature,2,Medium,Team A,Testing,3,4,2024-03-29,2024-04-04,6.3
T-0146,Feature,8,High,Team A,In Progress,2,5,2024-02-16,2024-02-25,9.35
T-0147,Bug,5,Medium,Team C,Backlog,1,1,2024-05-29,2024-06-02,4.13
T-0148,Bug,5,Medium,Team B,In Progress,3,4,2024-06-09,2024-06-19,9.56
T-0149,Feature,8,Medium,Team C,In Review,3,4,2024-06-08,2024-06-14,5.92
T-0150,Feature,8,High,Team B,In Review,0,4,2024-03-25,2024-03-29,4.34
T-0151,Spike,5,Medium,Team B,Backlog,3,1,2024-06-15,2024-06-23,7.71
T-0152,Feature,8,Low,Team A,Backlog,1,5,2024-05-07,2024-05-19,11.66
T-0153,Feature,5,High,Team B,In Review,0,3,2024-03-12,2024-03-15,2.58
T-0154,Bug,5,High,Team B,In Progress,0,1,2024-02-11,2024-02-17,5.9
T-0155,Spike,5,Low,Team B,In Progress,1,4,2024-01-09,2024-01-24,14.88
T-0156,Feature,5,Medium,Team B,Backlog,2,5,2024-01-25,2024-02-03,9.4
T-0157,Bug,2,Low,Team C,In Progress,3,2,2024-01-02,2024-01-08,6.42
T-0158,Task,8,Medium,Team A,In Review,0,0,2024-01-19,2024-01-23,3.6
T-0159,Feature,8,Medium,Team C,Testing,2,4,2024-01-20,2024-01-28,8.11
T-0160,Task,1,High,Team A,In Progress,1,2,2024-03-10,2024-03-15,4.8
T-0161,Feature,8,Medium,Team B,In Progress,3,3,2024-01-17,2024-01-30,13.02
T-0162,Bug,1,Medium,Team A,Backlog,3,4,2024-05-03,2024-05-06,3.38
T-0163,Bug,2,Medium,Team A,In Progress,0,2,2024-03-29,2024-04-03,5.16
T-0164,Bug,5,High,Team B,In Progress,3,4,2024-04-03,2024-04-12,8.92
T-0165,Feature,2,Medium,Team A,In Progress,3,1,2024-03-24,2024-03-31,6.99
T-0166,Task,8,Critical,Team B,In Progress,3,5,2024-05-10,2024-05-19,9.02
T-0167,Feature,8,Medium,Team C,Backlog,3,2,2024-03-27,2024-04-04,8.23
T-0168,Feature,3,Low,Team A,Backlog,1,5,2024-02-20,2024-02-29,9.0
T-0169,Feature,1,Medium,Team C,In Progress,2,1,2024-03-22,2024-03-28,5.66
T-0170,Bug,2,Medium,Team B,Backlog,1,1,2024-06-02,2024-06-07,4.6
T-0171,Bug,5,Medium,Team B,Backlog,1,5,2024-01-08,2024-01-15,6.81
T-0172,Feature,13,Low,Team A,Testing,0,2,2024-06-13,2024-06-24,11.25
T-0173,Bug,5,Low,Team A,In Progress,3,5,2024-04-30,2024-05-11,11.49
T-0174,Feature,2,High,Team A,In Progress,1,5,2024-06-03,2024-06-09,5.57
T-0175,Bug,5,Medium,Team A,In Review,3,0,2024-06-21,2024-06-26,4.61
T-0176,Feature,3,High,Team A,Testing,1,2,2024-01-04,2024-01-07,3.37
T-0177,Bug,5,Medium,Team B,In Progress,1,0,2024-03-26,2024-04-02,7.17
T-0178,Feature,1,Medium,Team C,In Review,0,4,2024-05-07,2024-05-11,4.05
T-0179,Spike,5,Medium,Team C,In Progress,2,5,2024-04-19,2024-04-29,10.02
T-0180,Feature,3,Medium,Team B,In Progress,2,4,2024-04-08,2024-04-16,8.37
T-0181,Feature,13,Medium,Team A,In Progress,1,2,2024-02-06,2024-02-19,13.04
T-0182,Feature,2,Medium,Team A,In Progress,0,5,2024-03-11,2024-03-18,7.29
T-0183,Spike,5,Low,Team A,In Progress,3,4,2024-02-02,2024-02-16,14.43
T-0184,Task,8,Medium,Team A,In Progress,3,3,2024-01-31,2024-02-10,9.93
T-0185,Feature,1,Medium,Team B,Backlog,1,1,2024-05-04,2024-05-10,6.08
T-0186,Bug,8,High,Team B,In Progress,2,5,2024-01-12,2024-01-19,7.16
T-0187,Task,5,High,Team A,Backlog,0,1,2024-01-11,2024-01-15,4.15
T-0188,Bug,1,High,Team A,In Progress,2,0,2024-03-28,2024-04-02,4.56
T-0189,Bug,2,High,Team C,In Progress,3,4,2024-03-12,2024-03-17,4.92
T-0190,Feature,5,Medium,Team C,In Review,2,0,2024-02-01,2024-02-05,3.69
T-0191,Feature,1,Medium,Team A,In Review,3,5,2024-02-26,2024-02-29,3.41
T-0192,Task,3,High,Team C,In Review,0,1,2024-06-14,2024-06-16,2.13
T-0193,Spike,2,Medium,Team C,In Progress,0,1,2024-03-26,2024-03-31,4.52
T-0194,Bug,5,Medium,Team A,In Review,1,4,2024-01-19,2024-01-22,3.05
T-0195,Feature,1,Low,Team A,In Progress,1,5,2024-04-25,2024-05-03,8.29
T-0196,Feature,8,Medium,Team B,Backlog,2,3,2024-01-14,2024-01-24,9.63
T-0197,Task,13,Medium,Team C,Backlog,0,3,2024-02-02,2024-02-09,7.47
T-0198,Task,13,High,Team C,In Progress,0,4,2024-01-10,2024-01-19,8.52
T-0199,Task,5,Medium,Team A,In Progress,1,5,2024-03-20,2024-03-28,8.2
T-0200,Task,1,Medium,Team A,In Progress,3,4,2024-03-04,2024-03-10,5.88
T-0201,Bug,5,Critical,Team B,In Review,2,5,2024-03-08,2024-03-11,2.98
T-0202,Feature,1,Low,Team B,Backlog,2,0,2024-04-01,2024-04-07,6.27
T-0203,Feature,1,Medium,Team A,Backlog,1,4,2024-05-04,2024-05-10,5.54
T-0204,Task,2,Low,Team C,Testing,0,5,2024-06-19,2024-06-26,6.52
T-0205,Bug,3,High,Team B,Backlog,1,3,2024-03-20,2024-03-25,4.54
T-0206,Feature,5,High,Team C,In Progress,1,5,2024-02-28,2024-03-06,6.85
T-0207,Feature,5,Medium,Team C,In Progress,1,5,2024-06-28,2024-07-07,8.57
T-0208,Bug,3,High,Team B,In Progress,1,4,2024-04-06,2024-04-11,5.09
T-0209,Feature,2,Medium,Team B,Backlog,3,0,2024-01-19,2024-01-24,4.53
T-0210,Feature,13,High,Team B,Backlog,3,0,2024-05-28,2024-06-05,8.19
T-0211,Bug,3,High,Team A,Backlog,0,0,2024-01-22,2024-01-24,2.23
T-0212,Bug,3,High,Team B,In Progress,1,0,2024-01-09,2024-01-15,5.7
T-0213,Bug,2,Low,Team A,In Progress,3,2,2024-01-09,2024-01-16,7.33
T-0214,Feature,5,Critical,Team B,Backlog,0,4,2024-01-27,2024-02-02,5.57
T-0215,Task,5,High,Team A,In Progress,1,1,2024-01-17,2024-01-23,5.85
T-0216,Feature,2,Medium,Team A,In Review,2,4,2024-06-20,2024-06-23,3.1
T-0217,Feature,1,High,Team A,Backlog,3,2,2024-02-14,2024-02-18,3.76
T-0218,Task,5,Medium,Team A,In Progress,0,0,2024-01-08,2024-01-13,4.66
T-0219,Bug,5,High,Team B,In Progress,2,2,2024-05-25,2024-05-31,6.38
T-0220,Task,2,Low,Team B,In Progress,1,3,2024-05-04,2024-05-13,8.57
T-0221,Bug,13,High,Team B,In Progress,1,3,2024-05-02,2024-05-11,8.79
T-0222,Bug,2,Medium,Team A,In Progress,1,4,2024-02-02,2024-02-09,7.02
T-0223,Feature,3,Low,Team A,In Review,3,4,2024-01-01,2024-01-07,6.3
T-0224,Feature,8,Medium,Team A,In Review,0,1,2024-01-06,2024-01-11,5.04
T-0225,Feature,3,Low,Team A,In Progress,2,1,2024-02-10,2024-02-19,9.38
T-0226,Feature,5,Medium,Team C,In Review,0,3,2024-01-05,2024-01-08,2.81
T-0227,Spike,3,Medium,Team A,In Progress,3,0,2024-03-20,2024-03-27,6.86
T-0228,Feature,2,Medium,Team A,In Progress,0,2,2024-01-18,2024-01-24,5.75
T-0229,Task,13,Medium,Team A,In Progress,3,1,2024-06-25,2024-07-05,9.95
T-0230,Bug,3,Medium,Team A,Backlog,1,5,2024-03-22,2024-03-27,4.53
T-0231,Task,8,High,Team B,In Review,2,1,2024-03-05,2024-03-08,3.46
T-0232,Bug,2,Low,Team B,In Progress,1,0,2024-03-23,2024-03-30,6.88
T-0233,Bug,2,High,Team A,In Progress,0,0,2024-05-15,2024-05-20,5.48
T-0234,Bug,1,High,Team A,Testing,1,4,2024-05-10,2024-05-13,3.18
T-0235,Feature,5,Medium,Team A,Backlog,2,2,2024-01-25,2024-01-31,6.31
T-0236,Task,3,Medium,Team A,In Progress,1,0,2024-03-09,2024-03-14,5.26
T-0237,Feature,8,High,Team A,Backlog,2,1,2024-06-16,2024-06-22,6.18
T-0238,Feature,3,Low,Team C,In Review,2,1,2024-03-22,2024-03-25,3.3
T-0239,Bug,13,Low,Team B,In Review,1,3,2024-06-26,2024-07-05,9.38
T-0240,Feature,2,Medium,Team B,In Progress,3,0,2024-04-26,2024-05-03,6.88
T-0241,Spike,8,High,Team B,In Progress,0,5,2024-04-04,2024-04-14,10.41
T-0242,Spike,5,Low,Team B,In Progress,3,4,2024-02-02,2024-02-19,16.62
T-0243,Spike,5,Medium,Team B,In Review,3,2,2024-04-20,2024-04-25,4.71
T-0244,Feature,8,Critical,Team B,In Progress,1,5,2024-05-25,2024-06-02,8.32
T-0245,Feature,5,High,Team B,In Progress,0,4,2024-05-04,2024-05-13,8.9
T-0246,Spike,5,Medium,Team A,Testing,0,1,2024-01-16,2024-01-22,5.58
T-0247,Bug,1,Low,Team B,In Progress,3,5,2024-03-20,2024-03-31,10.83
T-0248,Spike,1,High,Team B,Backlog,1,4,2024-02-07,2024-02-12,5.41
T-0249,Spike,8,Medium,Team C,In Progress,0,1,2024-06-17,2024-06-26,9.31
T-0250,Task,5,Low,Team B,Testing,3,1,2024-05-14,2024-05-23,9.37
T-0251,Feature,5,Low,Team B,In Progress,0,1,2024-03-18,2024-03-30,11.86
T-0252,Feature,3,High,Team A,Backlog,1,1,2024-06-29,2024-07-03,4.07
T-0253,Task,1,Medium,Team B,In Progress,1,1,2024-03-03,2024-03-09,6.32
T-0254,Feature,1,High,Team A,In Progress,1,3,2024-04-21,2024-04-27,6.04
T-0255,Feature,5,High,Team A,Backlog,0,5,2024-03-29,2024-04-02,4.42
T-0256,Bug,3,Medium,Team A,In Progress,2,4,2024-06-08,2024-06-13,5.21
T-0257,Spike,2,Medium,Team B,Testing,0,3,2024-02-07,2024-02-13,5.97
T-0258,Bug,3,Medium,Team A,In Progress,2,3,2024-05-29,2024-06-03,4.83
T-0259,Bug,1,Medium,Team A,In Progress,1,0,2024-05-23,2024-05-27,3.91
T-0260,Feature,3,Medium,Team C,In Progress,3,0,2024-02-21,2024-02-27,6.5
T-0261,Bug,2,High,Team A,Backlog,2,0,2024-01-29,2024-02-01,2.63
T-0262,Spike,5,Medium,Team B,In Review,1,2,2024-05-23,2024-05-28,4.84
T-0263,Feature,2,High,Team B,In Progress,1,0,2024-03-16,2024-03-20,4.3
T-0264,Bug,3,Medium,Team A,In Progress,2,4,2024-05-24,2024-05-31,7.22
T-0265,Task,1,Medium,Team C,In Progress,3,3,2024-03-04,2024-03-09,4.97
T-0266,Task,1,Medium,Team A,In Progress,1,4,2024-03-31,2024-04-04,4.23
T-0267,Bug,3,Medium,Team B,In Progress,2,5,2024-03-29,2024-04-06,7.83
T-0268,Task,3,High,Team B,Backlog,3,0,2024-01-13,2024-01-18,4.86
T-0269,Feature,5,Medium,Team B,In Review,3,2,2024-03-12,2024-03-17,5.04
T-0270,Feature,2,Medium,Team B,Testing,1,5,2024-01-05,2024-01-11,5.52
T-0271,Task,5,Low,Team A,In Progress,0,2,2024-01-12,2024-01-21,8.97
T-0272,Task,8,Medium,Team A,Testing,0,5,2024-06-17,2024-06-25,7.64
T-0273,Task,5,Medium,Team B,Backlog,1,3,2024-01-03,2024-01-10,6.65
T-0274,Spike,1,Medium,Team B,In Progress,3,4,2024-02-02,2024-02-11,8.73
T-0275,Bug,3,Critical,Team C,In Progress,1,1,2024-04-30,2024-05-03,3.39
T-0276,Bug,1,Medium,Team C,In Progress,2,4,2024-02-19,2024-02-23,3.91
T-0277,Task,2,High,Team C,In Progress,0,0,2024-05-16,2024-05-19,2.93
T-0278,Bug,13,Medium,Team B,In Progress,2,1,2024-06-26,2024-07-06,10.16
T-0279,Task,1,Medium,Team A,Backlog,1,2,2024-01-29,2024-02-03,5.03
T-0280,Task,3,Low,Team C,In Progress,1,3,2024-02-08,2024-02-17,8.73
T-0281,Task,5,Medium,Team B,Backlog,3,3,2024-03-31,2024-04-07,7.35
T-0282,Feature,5,Medium,Team A,In Review,3,2,2024-04-09,2024-04-12,3.17
T-0283,Feature,3,Medium,Team C,Backlog,3,0,2024-06-21,2024-06-26,5.28
T-0284,Feature,1,Low,Team C,Backlog,2,2,2024-01-17,2024-01-24,6.73
T-0285,Bug,2,Low,Team B,In Progress,3,5,2024-02-25,2024-03-06,10.48
T-0286,Feature,3,Medium,Team A,In Progress,1,0,2024-02-15,2024-02-21,5.98
T-0287,Bug,1,Critical,Team A,In Review,3,1,2024-03-07,2024-03-09,1.97
T-0288,Bug,3,Medium,Team C,In Progress,0,2,2024-05-21,2024-05-26,5.29
T-0289,Feature,1,Medium,Team C,In Progress,3,0,2024-03-07,2024-03-13,6.03
T-0290,Bug,1,Low,Team A,In Review,2,1,2024-01-23,2024-01-27,3.75
T-0291,Feature,3,Medium,Team A,In Progress,0,2,2024-04-03,2024-04-09,6.34
T-0292,Feature,1,Medium,Team C,Backlog,0,3,2024-05-30,2024-06-03,3.64
T-0293,Task,3,Medium,Team A,In Progress,0,2,2024-06-03,2024-06-09,5.61
T-0294,Feature,5,Medium,Team B,Testing,2,4,2024-02-23,2024-03-02,8.44
T-0295,Feature,8,Low,Team C,In Progress,1,2,2024-05-17,2024-05-28,11.44
T-0296,Bug,2,Low,Team A,In Progress,3,4,2024-03-17,2024-03-25,7.67
T-0297,Task,2,Medium,Team B,Backlog,0,1,2024-01-16,2024-01-20,4.43
T-0298,Feature,1,Low,Team A,Backlog,0,2,2024-02-10,2024-02-16,6.27
T-0299,Bug,5,Low,Team A,In Progress,0,1,2024-04-07,2024-04-15,7.62
T-0300,Feature,5,Medium,Team C,In Progress,1,1,2024-05-07,2024-05-14,6.82
T-0301,Feature,1,High,Team B,Backlog,1,0,2024-03-01,2024-03-05,3.76
T-0302,Bug,8,Medium,Team C,Testing,2,1,2024-03-26,2024-04-01,5.5
T-0303,Bug,1,Medium,Team B,In Review,1,1,2024-04-27,2024-04-28,1.01
T-0304,Bug,3,Medium,Team A,In Progress,3,2,2024-04-09,2024-04-16,6.69
T-0305,Task,5,High,Team A,In Review,2,2,2024-02-18,2024-02-21,3.34
T-0306,Spike,8,Medium,Team A,Backlog,2,3,2024-06-28,2024-07-07,8.64
T-0307,Bug,5,Low,Team A,In Progress,3,0,2024-01-02,2024-01-11,8.92
T-0308,Feature,8,Medium,Team A,In Progress,3,1,2024-04-29,2024-05-10,10.72
T-0309,Task,2,Low,Team A,In Review,3,0,2024-06-26,2024-06-30,4.23
